time,total_packets
1645401654.3710458,6379215
1645401654.5722678,6379216
1645401654.7735102,6379218
1645401654.974686,6379218
1645401655.1758533,6379218
1645401655.37704,6379218
1645401655.5782297,6379218
1645401655.7794466,6379219
1645401655.9806156,6379219
1645401656.181798,6379219
1645401656.3829799,6379219
1645401656.5841737,6379219
1645401656.7853749,6379220
1645401656.986569,6379220
1645401657.1876535,6379220
1645401657.3888779,6379220
1645401657.5900533,6379220
1645401657.791244,6379222
1645401657.992474,6379222
1645401658.193641,6379223
1645401658.3948162,6379223
1645401658.5959842,6379223
1645401658.797175,6379224
1645401658.9983628,6379224
1645401659.1995456,6379224
1645401659.4007132,6379224
1645401659.6018798,6379225
1645401659.803057,6379227
1645401660.0041523,6379231
1645401660.205565,6379234
1645401660.406775,6379234
1645401660.6078863,6379234
1645401660.8090937,6379235
1645401661.0102956,6379235
1645401661.2115262,6379235
1645401661.412752,6379235
1645401661.6138358,6379236
1645401661.814916,6379237
1645401662.0160894,6379237
1645401662.2175045,6379237
1645401662.4187584,6379237
1645401662.6198814,6379237
1645401662.8210585,6379238
1645401663.0222538,6379238
1645401663.2234488,6379238
1645401663.424619,6379238
1645401663.6258361,6379241
1645401663.8270197,6379242
1645401664.0282164,6379242
1645401664.2293954,6379242
1645401664.4305768,6379242
1645401664.6317666,6379244
1645401664.8329356,6379246
1645401665.034179,6379246
1645401665.235378,6379246
1645401665.4365609,6379246
1645401665.637732,6379246
1645401665.8389115,6379247
1645401666.0400724,6379247
1645401666.2412853,6379248
1645401666.442518,6379248
1645401666.643682,6379249
1645401666.8448594,6379251
1645401667.0460224,6379251
1645401667.2472188,6379251
1645401667.4484367,6379251
1645401667.6496086,6379253
1645401667.8507857,6379257
1645401668.0519466,6379259
1645401668.253179,6379260
1645401668.4544055,6379260
1645401668.6555908,6379263
1645401668.8567603,6379266
1645401669.0578396,6379267
1645401669.2590106,6379268
1645401669.4602427,6379270
1645401669.6614356,6379270
1645401669.862631,6379272
1645401670.0638018,6379273
1645401670.2650623,6379273
1645401670.466314,6379274
1645401670.6675842,6379275
1645401670.8688803,6379276
1645401671.0700812,6379276
1645401671.27129,6379276
1645401671.472525,6379276
1645401671.6736987,6379276
1645401671.874785,6379277
1645401672.075951,6379278
1645401672.2771838,6379278
1645401672.478378,6379279
1645401672.6795962,6379279
1645401672.8807201,6379280
1645401673.0819538,6379280
1645401673.2831798,6379280
1645401673.4843645,6379280
1645401673.685554,6379280
1645401673.886716,6379281
1645401674.087887,6379282
1645401674.288956,6379282
1645401674.4901743,6379283
1645401674.6912782,6379285
1645401674.892548,6379285
1645401675.0937173,6379285
1645401675.2949147,6379286
1645401675.4966352,6379287
1645401675.69781,6379288
1645401675.8989737,6379288
1645401676.1001818,6379288
1645401676.3013775,6379288
1645401676.502601,6379289
1645401676.7037792,6379291
1645401676.904955,6379293
1645401677.1061754,6379293
1645401677.307408,6379293
1645401677.5085945,6379293
1645401677.709765,6379294
1645401677.9109368,6379294
1645401678.1121068,6379295
1645401678.3133173,6379295
1645401678.514564,6379296
1645401678.7157338,6379297
1645401678.916885,6379297
1645401679.1180308,6379297
1645401679.319218,6379297
1645401679.5204372,6379298
1645401679.7216249,6379300
1645401679.9228656,6379300
1645401680.1240463,6379300
1645401680.3252401,6379300
1645401680.5264778,6379300
1645401680.7276483,6379301
1645401680.9288197,6379301
1645401681.1299124,6379301
1645401681.331056,6379301
1645401681.5322466,6379301
1645401681.7335055,6379303
1645401681.934678,6379303
1645401682.1358676,6379303
1645401682.3370132,6379311
1645401682.5383513,6379316
1645401682.7395551,6379317
1645401682.9407318,6379317
1645401683.141903,6379317
1645401683.3429725,6379317
1645401683.5441782,6379317
1645401683.7453883,6379318
1645401683.9465675,6379318
1645401684.1477978,6379318
1645401684.3492932,6379318
1645401684.5505517,6379319
1645401684.751733,6379321
1645401684.9529102,6379321
1645401685.1539974,6379321
1645401685.3552272,6379321
1645401685.5564613,6379321
1645401685.7576315,6379323
1645401685.958784,6379323
1645401686.1599364,6379323
1645401686.361171,6379323
1645401686.5623841,6379323
1645401686.7635791,6379324
1645401686.964645,6379324
1645401687.165865,6379324
1645401687.3670459,6379324
1645401687.5682652,6379324
1645401687.7694817,6379325
1645401687.9706569,6379325
1645401688.1718473,6379326
1645401688.3730426,6379326
1645401688.574279,6379334
1645401688.7755635,6379340
1645401688.976733,6379340
1645401689.177845,6379340
1645401689.379083,6379340
1645401689.5803266,6379341
1645401689.7815897,6379344
1645401689.982761,6379344
1645401690.1839397,6379346
1645401690.3851757,6379346
1645401690.5864108,6379346
1645401690.787603,6379347
1645401690.9889405,6379347
1645401691.1901803,6379347
1645401691.3914127,6379347
1645401691.5926054,6379347
1645401691.7937772,6379348
1645401691.9948447,6379348
1645401692.1958926,6379348
1645401692.397068,6379348
1645401692.5983074,6379348
1645401692.799541,6379349
1645401693.000704,6379349
1645401693.2018788,6379349
1645401693.4030538,6379349
1645401693.6042914,6379349
1645401693.8055184,6379350
1645401694.0066938,6379350
1645401694.2078686,6379350
1645401694.4090433,6379350
1645401694.610321,6379351
1645401694.8115366,6379353
1645401695.0126944,6379353
1645401695.2138722,6379353
1645401695.4150405,6379353
1645401695.6162574,6379353
1645401695.8174903,6379354
1645401696.018655,6379354
1645401696.219819,6379354
1645401696.4209912,6379354
1645401696.6221862,6379354
1645401696.8233845,6379355
1645401697.0245676,6379355
1645401697.225748,6379355
1645401697.4269323,6379355
1645401697.6281786,6379356
1645401697.829405,6379358
1645401698.030593,6379358
1645401698.2318008,6379360
1645401698.432984,6379360
1645401698.6341748,6379361
1645401698.8353662,6379362
1645401699.036597,6379362
1645401699.2377877,6379362
1645401699.4388473,6379363
1645401699.6403341,6379363
1645401699.8416023,6379365
1645401700.0427904,6379365
1645401700.2439744,6379365
1645401700.4450734,6379373
1645401700.6466315,6379378
1645401700.847858,6379379
1645401701.049073,6379379
1645401701.2503183,6379379
1645401701.4516015,6379380
1645401701.6527796,6379380
1645401701.8539577,6379381
1645401702.0552158,6379381
1645401702.256411,6379381
1645401702.4576051,6379381
1645401702.6587734,6379381
1645401702.8599513,6379382
1645401703.0611725,6379382
1645401703.2623615,6379382
1645401703.4635856,6379382
1645401703.6647584,6379382
1645401703.8659534,6379386
1645401704.0671718,6379386
1645401704.268395,6379386
1645401704.4695988,6379387
1645401704.6707895,6379387
1645401704.871958,6379389
1645401705.073175,6379389
1645401705.2743735,6379389
1645401705.4755664,6379389
1645401705.6767404,6379390
1645401705.8779087,6379390
1645401706.079082,6379391
1645401706.2802782,6379393
1645401706.4814987,6379393
1645401706.6826494,6379393
1645401706.883851,6379395
1645401707.0855143,6379395
1645401707.2866912,6379395
1645401707.487866,6379395
1645401707.6890397,6379396
1645401707.8902748,6379396
1645401708.0914967,6379397
1645401708.2926729,6379397
