time,ping
1644038715.0744388,0.174 ms
1644038715.2766485,0.256 ms
1644038715.4789999,0.134 ms
1644038715.681034,0.251 ms
1644038715.8832822,0.248 ms
1644038716.0855472,0.250 ms
1644038716.2880034,0.196 ms
1644038716.4901578,0.253 ms
1644038716.6921792,0.258 ms
1644038716.8944364,0.166 ms
1644038717.0966601,0.151 ms
1644038717.2988482,0.247 ms
1644038717.5010767,0.209 ms
1644038717.7032778,0.240 ms
1644038717.9055283,0.250 ms
1644038718.1078064,0.221 ms
1644038718.3100414,0.259 ms
1644038718.5122414,0.271 ms
1644038718.714473,0.244 ms
1644038718.9168565,0.242 ms
1644038719.1190035,0.206 ms
1644038719.3210974,0.249 ms
1644038719.523363,0.251 ms
1644038719.7254546,0.252 ms
1644038719.9277706,0.284 ms
1644038720.1300743,0.259 ms
1644038720.3322632,0.159 ms
1644038720.5343804,0.255 ms
1644038720.7366812,0.255 ms
1644038720.939031,0.255 ms
1644038721.141239,0.180 ms
1644038721.3433604,0.257 ms
1644038721.5456676,0.246 ms
1644038721.7479076,0.225 ms
1644038721.950088,0.197 ms
1644038722.152254,0.247 ms
1644038722.3545196,0.262 ms
1644038722.55679,0.200 ms
1644038722.758942,0.169 ms
1644038722.9610102,0.174 ms
1644038723.163092,0.159 ms
1644038723.36519,0.133 ms
1644038723.567281,0.184 ms
1644038723.7695234,0.140 ms
1644038723.9716249,0.173 ms
1644038724.1737278,0.174 ms
1644038724.3759549,0.172 ms
1644038724.578103,0.186 ms
1644038724.780317,0.162 ms
1644038724.982455,0.164 ms
1644038725.1846628,0.182 ms
1644038725.386879,0.208 ms
1644038725.5890384,0.204 ms
1644038725.7911985,0.151 ms
1644038725.993356,0.184 ms
1644038726.1955893,0.187 ms
1644038726.3976889,0.184 ms
1644038726.599863,0.166 ms
1644038726.8019722,0.201 ms
1644038727.0040612,0.187 ms
1644038727.2062254,0.186 ms
1644038727.4084198,0.185 ms
1644038727.6107013,0.169 ms
1644038727.812909,0.166 ms
1644038728.0150106,0.163 ms
1644038728.217171,0.186 ms
1644038728.4193163,0.177 ms
1644038728.6215572,0.188 ms
1644038728.8239064,0.193 ms
1644038729.025972,0.204 ms
1644038729.2280948,0.197 ms
1644038729.4302826,0.183 ms
1644038729.6321795,0.174 ms
1644038729.8341782,0.182 ms
1644038730.0363002,0.186 ms
1644038730.2384896,0.147 ms
1644038730.440582,0.403 ms
1644038730.6428769,0.211 ms
1644038730.8449209,0.173 ms
1644038731.0471463,0.180 ms
1644038731.2491858,0.175 ms
1644038731.451183,0.179 ms
1644038731.6531866,0.252 ms
1644038731.8551898,0.251 ms
1644038732.0574222,0.265 ms
1644038732.2597136,0.290 ms
1644038732.4620495,0.274 ms
1644038732.664319,0.253 ms
1644038732.8665822,0.242 ms
1644038733.068956,0.217 ms
1644038733.271072,0.164 ms
1644038733.4731743,0.217 ms
1644038733.6754224,0.176 ms
1644038733.8777082,0.157 ms
1644038734.0798337,0.262 ms
1644038734.2820745,0.200 ms
1644038734.484168,0.243 ms
1644038734.6863275,0.187 ms
1644038734.888442,0.247 ms
1644038735.0907187,0.241 ms
1644038735.292895,0.236 ms
1644038735.494994,0.246 ms
1644038735.6971328,0.217 ms
1644038735.8992627,0.242 ms
1644038736.1014247,0.245 ms
1644038736.303669,0.178 ms
1644038736.5058694,0.246 ms
1644038736.7080386,0.269 ms
1644038736.9102814,0.216 ms
1644038737.1124,0.249 ms
1644038737.3146787,0.250 ms
1644038737.51693,0.227 ms
1644038737.7190502,0.177 ms
1644038737.9210842,0.185 ms
1644038738.123212,0.262 ms
1644038738.3253868,0.257 ms
1644038738.5277154,0.275 ms
1644038738.729975,0.246 ms
1644038738.9321218,0.262 ms
1644038739.1341875,0.247 ms
1644038739.3363874,0.209 ms
1644038739.5385723,0.188 ms
1644038739.740857,0.249 ms
1644038739.9429715,0.252 ms
1644038740.1453362,0.241 ms
1644038740.34755,0.215 ms
1644038740.5507922,0.239 ms
1644038740.7530487,0.179 ms
1644038740.9553738,0.242 ms
1644038741.1576068,0.246 ms
1644038741.359915,0.200 ms
1644038741.562167,0.241 ms
1644038741.7644053,0.242 ms
1644038741.9666924,0.249 ms
1644038742.1689394,0.235 ms
1644038742.3711288,0.250 ms
1644038742.5733418,0.251 ms
1644038742.7756464,0.243 ms
1644038742.9778214,0.244 ms
1644038743.1800392,0.252 ms
1644038743.3822052,0.240 ms
1644038743.5843606,0.241 ms
1644038743.7867157,0.252 ms
1644038743.9889278,0.229 ms
1644038744.191062,0.227 ms
1644038744.3931835,0.236 ms
1644038744.595358,0.244 ms
1644038744.7975683,0.246 ms
