"STATION","NAME","DATE","TMIN"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-07-27","60"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-07-28","60"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-07-29","58"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-07-30","59"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-07-31","58"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-08-01","56"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-08-02","58"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-08-03","57"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-08-04","56"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-08-05","60"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-08-06","57"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-08-07","59"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-08-08","63"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-08-09","62"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-08-10","54"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-08-11","52"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-08-12","57"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-08-13","59"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-08-14","57"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-08-15","58"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-08-16","62"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-08-17","61"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-08-18","57"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-08-19","55"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-08-20","56"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-08-21","54"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-08-22","57"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-08-23","55"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-08-24","55"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-08-25","55"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-08-26","58"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-08-27","57"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-08-28","60"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-08-29","60"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-08-30","54"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-08-31","51"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-09-01","48"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-09-02","47"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-09-03","52"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-09-04","53"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-09-05","54"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-09-06","50"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-09-07","50"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-09-08","49"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-09-09","52"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-09-10","52"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-09-11","47"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-09-12","45"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-09-13","44"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-09-14","50"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-09-15","52"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-09-16","53"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-09-17","47"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-09-18","48"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-09-19","52"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-09-20","52"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-09-21","51"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-09-22","52"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-09-23","48"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-09-24","45"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-09-25","41"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-09-26","43"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-09-27","45"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-09-28","45"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-09-29","49"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-09-30","51"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-10-01","49"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-10-02","50"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-10-03","36"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-10-04","30"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-10-05","34"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-10-06","28"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-10-07","29"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-10-08","36"
"USS0011J52S","PARLEY S SUMMIT, UT US","2012-10-09","43"
